log_om_s,log_gpp_s,mat_s,sample_id,year,site_id,lambda,.lower,.upper,.width,.point,.interval
-1.4751266182651195,0.9863947700227248,1.9688889853949334,13,2017,CUPE,-1.267950254427794,-1.2831857790029777,-1.2535460143539323,0.95,median,qi
-1.4751266182651195,0.9863947700227248,1.9688889853949334,14,2018,CUPE,-1.2245816597191812,-1.2546092189614646,-1.1963148668849168,0.95,median,qi
-1.4751266182651195,0.9863947700227248,1.9688889853949334,15,2019,CUPE,-1.211825833819828,-1.236901387863182,-1.188307439025612,0.95,median,qi
-1.4751266182651195,0.9863947700227248,1.9688889853949334,16,2021,CUPE,-1.2223743418884432,-1.2396734748001033,-1.205411848095584,0.95,median,qi
-1.4751266182651195,0.9863947700227248,1.9688889853949334,17,2021,CUPE,-1.2193794385915862,-1.2348177572693289,-1.204504119247993,0.95,median,qi
-1.4751266182651195,0.9863947700227248,1.9688889853949334,109,2019,CUPE,-1.2124439496228954,-1.2266087510221106,-1.1982072748944261,0.95,median,qi
-1.4751266182651195,0.9863947700227248,1.9688889853949334,144,2018,CUPE,-1.253454880037469,-1.272477879006879,-1.234385169153738,0.95,median,qi
-1.4751266182651195,0.9863947700227248,1.9688889853949334,145,2017,CUPE,-1.2790916206996679,-1.3038851508503642,-1.2560624438303067,0.95,median,qi
-1.4270389722111192,-0.3449256424032944,-0.8003761269232178,128,2019,REDB,-1.2438026517880703,-1.2518279709867455,-1.2357962170202046,0.95,median,qi
-1.4270389722111192,-0.3449256424032944,-0.8003761269232178,133,2016,REDB,-1.2249042632013876,-1.2324435150217863,-1.2173757465502602,0.95,median,qi
-1.4270389722111192,-0.3449256424032944,-0.8003761269232178,146,2017,REDB,-1.2053243922941528,-1.2115743569408788,-1.1992465945496313,0.95,median,qi
-1.4270389722111192,-0.3449256424032944,-0.8003761269232178,147,2018,REDB,-1.2590379995910421,-1.2641603698362684,-1.2535767380405831,0.95,median,qi
-1.4270389722111192,-0.3449256424032944,-0.8003761269232178,148,2018,REDB,-1.2042263709886107,-1.2112568040694887,-1.1971359068579825,0.95,median,qi
-1.1267030255204318,1.8046096090684662,0.8017554521165597,12,2017,BLUE,-1.207864734397254,-1.2130358274153699,-1.2029513833072472,0.95,median,qi
-0.7342849472230784,-1.1465293022840874,-1.5680235991325813,142,2018,CARI,-1.209361417899975,-1.2307444236605116,-1.1887470421556252,0.95,median,qi
-0.7342849472230784,-1.1465293022840874,-1.5680235991325813,143,2019,CARI,-1.2314462904011154,-1.2546357797616379,-1.210143756942502,0.95,median,qi
-0.7342849472230784,-1.1465293022840874,-1.5680235991325813,149,2019,CARI,-1.2301015666963253,-1.250337312111899,-1.2108794266918284,0.95,median,qi
-0.7342849472230784,-1.1465293022840874,-1.5680235991325813,150,2021,CARI,-1.2463243452249273,-1.2714728905324848,-1.221848480701096,0.95,median,qi
-0.7158885225975441,0.16250464558886987,0.29208765201914094,41,2016,LECO,-1.2209945175791108,-1.2306711050157195,-1.2116517533086248,0.95,median,qi
-0.7158885225975441,0.16250464558886987,0.29208765201914094,42,2017,LECO,-1.246495158735527,-1.255991517193848,-1.2377703340581583,0.95,median,qi
-0.7158885225975441,0.16250464558886987,0.29208765201914094,43,2018,LECO,-1.218985128341388,-1.2399636079792642,-1.1975712433902348,0.95,median,qi
-0.7158885225975441,0.16250464558886987,0.29208765201914094,44,2019,LECO,-1.239737207867078,-1.2492755709622871,-1.2300712740614879,0.95,median,qi
-0.7158885225975441,0.16250464558886987,0.29208765201914094,45,2021,LECO,-1.242801369288827,-1.2541913636875295,-1.2314847733865608,0.95,median,qi
-0.7158885225975441,0.16250464558886987,0.29208765201914094,126,2019,LECO,-1.2265144367939433,-1.2363962276343423,-1.216982149044577,0.95,median,qi
-0.6315206043969359,1.21036707836785,1.664707117984261,19,2018,GUIL,-1.475894934903288,-1.4837676504822672,-1.467862522734375,0.95,median,qi
-0.6315206043969359,1.21036707836785,1.664707117984261,20,2018,GUIL,-1.1628636383443869,-1.1735423248872938,-1.152268953044565,0.95,median,qi
-0.6315206043969359,1.21036707836785,1.664707117984261,21,2019,GUIL,-1.198061834995027,-1.2024534543735972,-1.1938479029280846,0.95,median,qi
-0.6315206043969359,1.21036707836785,1.664707117984261,22,2019,GUIL,-1.2102034846455845,-1.2178400464764956,-1.202677964871729,0.95,median,qi
-0.6315206043969359,1.21036707836785,1.664707117984261,23,2021,GUIL,-1.2149936909727495,-1.221014885169947,-1.209099405232175,0.95,median,qi
-0.6315206043969359,1.21036707836785,1.664707117984261,24,2021,GUIL,-1.1915170368225145,-1.1982631056281219,-1.1851080782146088,0.95,median,qi
-0.6315206043969359,1.21036707836785,1.664707117984261,134,2017,GUIL,-1.2279450567976884,-1.2460868785633485,-1.2095438015238902,0.95,median,qi
-0.6171313207920159,-0.45997703089025344,-0.06117016233674846,10,2019,BIGC,-1.1597516178682863,-1.170807238201483,-1.1488323405626448,0.95,median,qi
-0.6171313207920159,-0.45997703089025344,-0.06117016233674846,11,2021,BIGC,-1.1727630241901377,-1.1763943252907967,-1.1690369895843933,0.95,median,qi
-0.6171313207920159,-0.45997703089025344,-0.06117016233674846,135,2018,BIGC,-1.1940892657426958,-1.1984287016916209,-1.1900105794003204,0.95,median,qi
-0.6171313207920159,-0.45997703089025344,-0.06117016233674846,136,2019,BIGC,-1.1961473360356982,-1.2009015599534447,-1.191239554832305,0.95,median,qi
-0.507869090307648,-0.9801299911585157,-1.5563221544803145,118,2021,OKSR,-1.2067575161343163,-1.2186555907405845,-1.194751837044608,0.95,median,qi
-0.507869090307648,-0.9801299911585157,-1.5563221544803145,151,2019,OKSR,-1.2291195662116725,-1.260757995332004,-1.1988566186846568,0.95,median,qi
-0.43219599484509647,-0.26744537595355267,-0.3903534540704193,131,2018,MART,-1.1946306047091957,-1.200038995778886,-1.1896275597650838,0.95,median,qi
-0.43219599484509647,-0.26744537595355267,-0.3903534540704193,132,2020,MART,-1.192734250846151,-1.2011145259978129,-1.1851623455035443,0.95,median,qi
-0.43219599484509647,-0.26744537595355267,-0.3903534540704193,137,2019,MART,-1.195501758386609,-1.2062296743045866,-1.184540015967752,0.95,median,qi
