parameter,first_moment,second_moment,mean,median,sd
alpha,12,3,13457934.224230297,165216.60079347156,284702830.93462
beta,7,60,0.1044836456591349,0.10075393297685721,0.03716787774691212
sigma,12,15,0.4441108421340372,0.44282206668614077,0.09400790522304307
gamma,14,25,0.35871296045392526,0.35748869037391195,0.07579022329041604
